player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
7091,2014,REG,30,44,301,2,0,2,7,1,1,313,182,17,0.6280506349,0,0.3042256154,8,11,0,0,0,0,7.756980867,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94,16.94,4,0,0,0,0,0,0,0,0,0,0,0,0.03755931001
7091,2015,REG,156,256,1690,9,5,16,101,3,2,1900,779,85,0.1130614587,0,0.5321229184,16,15,0,0,0,2,5.870651625,0,0,0,0,0,0,0,0,0,0,0,0,0,91.1,91.1,8,0,0,0,0,0,0,0,0,0,0,0,0.1596565019
9119,2010,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,42,0,0,0,10,31,0,4.305755309,0,0,4.2,14.2,6,0.06018518519,0.005952380952,0.0528109029,0.09503968254,0.03265940902,0,0,0,0.01632970451,0.02612752722,0.1944444444,0.03655648234
9119,2011,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,0,0,4,5,0,1.227448292,0,0,0.7,1.7,2,0.02409638554,0.005865102639,0.02109704641,0.04083666042,0.01172529313,0,0,0,0.005862646566,0.009380234506,0.0843373494,0.008777364725
9311,2010,REG,209,318,2365,16,12,21,100,4,1,2140,1345,117,24.02782942,2,1.184851326,31,147,1,2,0,6,0.1595544145,0,0,0,0,0,0,0,0,0,0,0,0,0,157.3,157.3,10,0,0,0,0,0,0,0,0,0,0,0,0.1728001758
9311,2011,REG,6,10,87,1,2,0,0,0,0,110,30,5,0.08063289576,0,0.072758589,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,3.28,3,0,0,0,0,0,0,0,0,0,0,0,0.01003917728
9323,2010,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,148,0,0,0,84,78,6,0.1497327706,0,0,14.8,31.8,14,0.0472972973,0.02244189153,0.05718475073,0.08889945917,0.05022056328,0,0.04255319149,0.03870967742,0.02511028164,0.04017645063,0.3333333333,0.03109173038
9323,2011,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,0,0,0,54,0,0,2.80038444,0,0,0.4,1.4,5,0.03468208092,0.03663500678,0,0.08133112681,0.003824091778,0,0,0,0.001912045889,0.003059273423,0.02312138728,0.003728958023
10346,2010,REG,450,679,4700,33,17,16,91,2,1,5905,1884,253,130.1688527,0,2.475464459,18,18,0,1,0,2,0.9209967469,0,0,0,0,0,0,0,0,0,0,0,0,0,285.8,285.8,16,0,0,0,0,0,0,0,0,0,0,0,0.1755204815
10346,2012,REG,400,583,4659,37,11,21,137,2,2,4841,1872,230,161.9634839,1,3.358400635,23,6,0,0,0,2,14.11747476,0,0,0,0,0,0,0,0,0,0,0,0,0,310.96,310.96,16,0,0,0,0,0,0,0,0,0,0,0,0.1876485994
10346,2013,REG,450,659,5477,55,10,18,120,5,3,5169,2581,289,262.7081184,0,3.427002354,32,31,1,5,3,1,28.95295474,0,0,0,0,0,0,0,0,0,0,0,0,0,409.98,409.98,16,0,0,0,0,0,0,0,0,0,0,0,0.1999531794
10346,2014,REG,395,597,4727,39,15,17,118,2,1,5071,1882,225,119.710891,2,2.556234014,24,24,0,3,1,0,24.81241129,0,0,0,0,0,0,0,0,0,0,0,0,0,312.68,312.68,16,0,0,0,0,0,0,0,0,0,0,0,0.1832223889
10346,2015,REG,198,331,2249,9,17,16,95,1,0,3112,967,110,31.95664474,0,0.5155661559,6,6,0,0,0,0,3.616596605,0,0,0,0,0,0,0,0,0,0,0,0,0,91.36,91.36,10,0,0,0,0,0,0,0,0,0,0,0,0.1130441238
10500,2010,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,100,802,7,0,0,1299,128,44,41.22107891,0,0,122.2,183.2,16,0.2036659878,0.2929634641,0.08409986859,0.539869753,0.22099752,0.28,0.2514285714,0.255,0.25049876,0.232798016,1.633401222,0.1425503439
10500,2011,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,35,170,0,0,0,282,38,11,3.536802144,0,0,17,36,11,0.1,0.09680741504,0.03225806452,0.227445932,0.06586594343,0,0.09016393443,0.07913669065,0.03293297172,0.05269275475,0.4857142857,0.03950660638
11022,2010,REG,275,472,3377,14,15,37,271,7,0,4082,1599,152,7.476039377,0,0.6036309502,29,151,0,3,1,8,2.545542817,0,0,0,0,0,0,0,0,0,0,0,0,0,174.18,174.18,13,0,0,0,0,0,0,0,0,0,0,0,0.1684623866
11022,2011,REG,94,156,1026,4,2,16,113,1,0,1231,424,52,17.45517148,0,0.1657022529,14,59,1,1,0,5,2.187935681,0,0,0,0,0,0,0,0,0,0,0,0,0,64.94,64.94,6,0,0,0,0,0,0,0,0,0,0,0,0.1503937008
11626,2010,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2.642619012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0.0006931928462
11754,2010,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,63,393,5,0,0,1084,63,20,7.991318529,0,0,69.3,97.3,13,0.1547911548,0.2866208355,0.05031948882,0.4614834006,0.1415196255,0.2777777778,0.1550387597,0.1700680272,0.2096487016,0.168771256,0.9656019656,0.09791884711
11754,2012,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,50,434,3,1,0,704,83,22,11.4804741,0,0,61.4,89.4,16,0.1146788991,0.1845831148,0.05608108108,0.3196848405,0.1222190932,0.1304347826,0.1279069767,0.1282051282,0.1263269379,0.1238622311,0.995412844,0.06675427855
12478,2010,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,139,983,9,0,0,1844,288,47,14.36778951,0,0,152.3,224.3,13,0.2774451098,0.4320524836,0.2178517398,0.7618096515,0.3067082683,0.4285714286,0.2764705882,0.2931937173,0.3676398485,0.3310809004,1.962075848,0.2100383931
13694,2010,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,3,1.353464523,0,5,5,31,0,0,0,4,27,1,0.03747867706,0,0,4.4,9.4,5,0.03205128205,0.002926115582,0.05921052632,0.05041781554,0.02881040892,0,0.02040816327,0.01754385965,0.01440520446,0.02304832714,0.1987179487,0.02255603014
14655,2010,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,1.936373848,0,20,40,224,0,0,0,171,148,9,8.397993014,1,0,24.6,44.6,15,0.0701754386,0.03563984994,0.07789473684,0.1337750378,0.05530864198,0,0.04864864865,0.04390243902,0.02765432099,0.04424691358,0.3929824561,0.03573145329
14655,2011,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,0,0,0,15,8,1,0.217809272,0,0,1.5,2.5,2,0.03125,0.03036437247,0.04469273743,0.07116649798,0.03282275711,0,0.04347826087,0.03846153846,0.01641137856,0.02625820569,0.234375,0.01474230452
15754,2010,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,43,354,0,0,0,394,89,23,7.542968408,0,0,35.4,66.4,11,0.1137566138,0.1185675594,0.09437963945,0.2654889682,0.1516059957,0,0.214953271,0.2,0.07580299786,0.1212847966,0.9365079365,0.08855694852
15754,2011,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0,0,0,26,4,0,2.991515776,0,0,0.7,1.7,2,0.05660377358,0.05128205128,0.01538461538,0.1259313014,0.01467505241,0,0,0,0.007337526205,0.01174004193,0.1320754717,0.008953022962
15754,2012,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,59,544,5,0,0,589,148,30,27.58515383,0,0,84.4,129.4,14,0.1147859922,0.1369130637,0.08685446009,0.2817094393,0.132070891,0.1515151515,0.1477832512,0.1483050847,0.1417930213,0.1359597431,1.058365759,0.08852342382
