Name,Position,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa
Ke'Shawn Vaughn,RB,36450,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,36,180.0,2,0.0,0.0,9.0,-3.2101816792856,0,4,8,26.0,0,0.0,0.0,13.0,14.0,1.0,-1.02041353867692,0,13.5555555555556,0.190005494030643,0.0287914030429854,0.305162223176054,0.0,6,0.0313725490196078,0.00611189468735308,0.0198581560283688,0.0519483392792942,0.015063731170336,0.0,0.010989010989011,0.00961538461538462,0.00753186558516802,0.0120509849362688,0.101960784313725
Dominique Dafney,TE,36456,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,4,34.0,0,0.0,0.0,10.0,31.0,2.0,1.44604720739881,0,2.0,0.115889016897081,0.0359499458336668,0.198998487429189,0.0,4,0.0277777777777778,0.0099403578528827,0.05,0.0496189529489728,0.0294627383015598,0.0,0.0338983050847458,0.0289855072463768,0.0147313691507799,0.0235701906412478,0.236111111111111
Ty'Son Williams,RB,36457,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,35,185.0,1,1.0,0.0,8.0,-0.730433289834764,0,9,12,84.0,0,0.0,0.0,30.0,71.0,4.0,1.16813550860009,0,11.7619047619048,0.38151018723165,0.0649097573711392,0.617702111007273,0.0,7,0.0508474576271186,0.0121654501216545,0.104411764705882,0.0860035465380016,0.0465373961218837,0.0,0.051948051948052,0.0465116279069767,0.0232686980609418,0.0372299168975069,0.355932203389831
Mike Strachan,WR,36482,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,3,26.0,0,0.0,0.0,54.0,0.0,2.0,4.27714111151205,0,1.0,0.0857142857142857,0.241367282874084,0.297528526583288,0.0,2,0.0405405405405405,0.107569721115538,0.0,0.146866587703241,0.0497131931166348,0.0,0.0740740740740741,0.0666666666666667,0.0248565965583174,0.0397705544933078,0.351351351351351
Tarik Black,WR,36491,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,2,10.0,0,0.0,0.0,18.0,0.0,1.0,1.09643593220972,0,0.555555555555556,0.105263157894737,0.144,0.258694736842105,0.0,1,0.1,0.132352941176471,0.0,0.255882352941177,0.114942528735632,0.0,0.333333333333333,0.25,0.0574712643678161,0.0919540229885057,0.5
Deon Jackson,RB,36493,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,13,31.0,1,0.0,0.0,2.0,-5.00215740624117,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Yeboah,TE,36510,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,3,36.0,0,0.0,0.0,48.0,3.0,2.0,2.83653338713339,0,1.09090909090909,0.0944444444444444,0.203866458695783,0.284373187753714,0.0,2,0.0422535211267606,0.0879120879120879,0.0113207547169811,0.133709952019811,0.0782608695652174,0.0,0.0689655172413793,0.0625,0.0391304347826087,0.0626086956521739,0.507042253521127
Trey Ragas,RB,36523,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,9.0,0,0.0,0.0,1.0,1.17825937736779,0,2,2,6.0,0,0.0,0.0,-7.0,13.0,0.0,-0.390999058145098,0,-0.857142857142857,0.0465116279069767,-0.0372340425531915,0.0437036120732311,0.0,1,0.0444444444444444,-0.0362694300518135,0.0687830687830688,0.0376511226252159,0.0228136882129278,0.0,0.0,0.0,0.0114068441064639,0.0182509505703422,0.133333333333333
Shane Zylstra,TE,36534,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,7,34.0,0,0.0,0.0,38.0,6.0,2.0,-5.42178606949492,0,2.12121212121212,0.196356275303644,0.168796992481203,0.412692307692308,0.0,2,0.107692307692308,0.0883720930232558,0.0327868852459016,0.232236135957066,0.0788863109048724,0.0,0.0909090909090909,0.0769230769230769,0.0394431554524362,0.0631090487238979,0.523076923076923
Rashod Bateman,WR,36550,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,46,68,515.0,1,0.0,0.0,598.0,171.0,29.0,14.8841516723144,0,10.1273689744837,1.93374605439366,2.10722384619143,4.37567577392449,0.0,12,0.153153153153153,0.17080834047415,0.148180242634315,0.36637640210905,0.187409024745269,0.0769230769230769,0.205673758865248,0.194805194805195,0.132166050834173,0.165311835180831,1.15990990990991
